"","Social.well.being","Psychological.well.being","CompInt.ICT","SchoolUse.ICT","Teacher.skills","ESCS","ENTUSE","ICTRES","HEDRES","CULTPOSS","STUBEHA","ATTLNACT","JOYREAD","LM_MINS","PROAT5AB","PROAT5AM","PROAT6","TEACHBEHA","STRATIO","CLSIZE","STAFFSHORT","EDUSHORT","RATCMP1","ICTSCH","CREACTIV","SCHSIZE","PV1MATH","PV1READ","CNT","SCHLTYPE"
"3717",1.79619850731258,1.22946356264567,0.398552293043491,-0.106999928035239,-1.56957681746117,0.207400647427284,0.268446951760426,-0.117083628303423,0.60742678115844,1.24223166816348,0.400195848468339,1.15964315650228,1.98442258760104,-0.332699333924329,1.20925822989591,1.14096054322815,-0.456925839946822,-0.390658327461336,-0.264138225759204,0.549128312131176,0.297831940534627,-0.0523203191020342,-0.181456300073228,0.100605734569914,-1.52539010015734,0.0834130965962622,0.436965100349267,0.651749449068754,"ESP","1"
"587",-0.259871163623813,0.32986400974191,0.101876336689739,2.34881918437045,0.705176198093402,0.652947049028904,-0.217066891356674,2.35410704164897,1.39910200109578,0.266129009213852,1.2739274005149,-1.05999292468637,-0.923293891835426,2.66100241153019,0.993850006372653,-0.868469253620183,-0.456925839946822,1.39039093502289,-0.0205623911376043,-0.113947551587326,-1.4590221489321,-0.0194347919923651,0.212291478191988,0.676041260441986,-1.52539010015734,-0.439286902417504,-0.39021595364848,-0.243858186314828,"DNK","1"
"2709",-0.980611854555323,-0.549026884081546,-1.80710998921021,0.567047100981887,-0.309779484254347,0.0206837957499387,1.04884130230467,0.186891645437494,0.628420046652014,-0.451255722373343,-0.55529773872386,-0.69051410925993,-0.190849492740292,-0.505577032860334,-1.16046920160305,0.697556803098672,0.372580590434254,-0.390658327461336,0.00185736103234663,-1.44009927902432,-0.378911926490754,0.39917492729855,0.103792669295222,1.17328622395934,0.420029003738133,0.0807325837808069,1.02599067855979,0.363489344305767,"SVK","1"
"3654",0.0145976206371647,0.832173395374979,0.348239887875306,0.729297615663599,-2.44112753233938,1.31266613494782,0.0768046895298993,0.584347078981768,0.0540020452644429,0.312195460171423,-0.535458421372345,1.71628077422185,0.150852169282911,-0.585779252132189,1.18366517363572,-1.33496693854807,-0.456925839946822,-0.038609805017026,1.27758905354788,0.549128312131176,1.04885514687805,-1.11806275180265,0.0704484975334306,1.17354574606576,0.420029003738133,2.78537001457511,-0.0184641032207217,-0.0876441956650054,"ESP","0"
"2542",-1.60006391482374,-1.21752855294092,0.219806438892914,1.19795915191829,0.248367760294158,2.24852647679109,0.605316135860502,1.16275069070752,1.84621828037638,0.241722174706818,-3.34803235095341,-0.283183571980281,2.21596380676451,-0.415790045699463,-1.16046920160305,1.23102692794194,0.188245828127349,-1.98548807009469,0.017151455535879,-0.777023415305827,-1.4590221489321,-1.61260243018436,-0.847558231283388,0.656488741217062,1.39273855568587,-0.629603312314824,2.84376359412476,2.54056938761054,"POL","1"
"3023",-0.14118424860829,0.119513970619041,-0.422238164411344,-0.478987181788413,0.170932920516443,-1.1595514789054,-0.520584346109203,-0.573625288825649,0.405166247291915,-0.617809546280004,1.02543494075854,1.0436817781854,-1.60016738073322,-0.610792092158608,1.07631652098881,-1.23899876794134,-0.143556744025082,1.07693874881582,-2.03527692261928,0.549128312131176,0.529954875903484,1.64191271291427,-0.125448511567094,0.891197188859341,-1.52539010015734,-1.17642792666769,-1.2041644273452,-1.53027359020833,"SVN","1"
"3718",1.08614146927508,2.12329886573817,1.38292105982114,1.57296125089989,-0.722120293109955,1.33523474442776,0.550365112520385,0.918685748890888,-1.09629072500053,0.806190494386166,-0.879440120704436,0.117380895526569,-0.477089105829251,0.252431245451028,0.0452481155436188,-0.0745507513281726,0.13126962886885,0.427459160866694,-0.046892565197663,-0.777023415305827,-0.129801812669905,-1.11806275180265,31.4724525048714,0.6669853561414,1.39273855568587,-0.578673568821175,-0.84370538187364,-0.677222650361908,"ESP","0"
"1477",1.25110409379583,0.592462531002782,2.03055642156163,-0.0999250526245394,0.52514320024681,0.17528148633277,0.564946637272657,-0.0831297257328757,-0.221030377703324,-1.37986349411941,0.368332702418935,0.349570014379498,-0.54672127865806,0.346735655451255,-0.920415812792207,-0.56619517614766,1.09316193399761,0.763486562608752,-0.281691675132577,1.21220417584968,0.0900819133795022,-0.0194347919923651,0.251757431488171,-0.253545535793994,1.39273855568587,1.52284847849571,0.265129099470411,0.428668019729535,"FRA","1"
"301",-0.550097952843115,-0.9303166795263,-0.0453311396649711,-0.376295879171202,-0.077371853951557,0.375645648888311,-0.705711555602485,0.0189359786985738,-0.194485969309812,0.409229833297058,0.545984771430236,-0.826930624374651,0.0735233442116373,-0.145345433861313,-1.0562011946171,1.06192793214025,0.463072201021281,0.387094259357123,1.55101444193064,-0.113947551587326,1.21735529587079,0.967340483253821,-0.24983790231909,-0.698544504392898,-1.52539010015734,0.804471043953714,0.801969872104372,0.647358995177845,"CZE","1"
"2818",-0.854701212119807,-0.657146098542886,-0.882619627603449,-0.545568735572062,-0.321909562357459,0.160998257267796,-1.20011832954327,-0.257411737045318,0.202084795923902,-0.745812826681455,0.732955307682401,1.90119178094073,-1.17241331192552,0.645335424026313,-1.09459077900738,1.15969229845352,-0.456925839946822,-0.655422952053762,0.230682215301818,-0.777023415305827,1.12577224682526,1.28949297175491,0.88217067885954,-1.20803551024525,1.39273855568587,-0.240928954073819,0.713434534006389,-0.274024160826344,"SVK","1"
