"","Approach.to.ICT","Use.of.ICT","Teachers..degree","Teacher.skill","ESCS","RATCMP1","ICTSCH","ICTRES","ENTUSE","LM_MINS","HEDRES","STUBEHA","ATTLNACT","JOYREAD","PROAT6","TEACHBEHA","STRATIO","CLSIZE","EDUSHORT","STAFFSHORT","PV1MATH","PV1READ","CREACTIV","CNT","Social.well.being","Psychological.well.being","IM_PUBLIC","NEW_VAR"
"245",-0.491274163910543,0.00269991060674261,0.733951407544272,0.345010316015778,0.462209523809524,1.5106,5.60510328068044,0.352638095238095,-0.011083245823389,170.357142857143,0.386109523809524,-1.0283,0.0102904761904763,0.165552380952381,0.1083,-1.2943,4.65,18,-0.3123,-1.4551,534.196,561.582,3,"CZE",0.0498435708429372,-2.67395896445462,"0","CZE-0"
"246",-0.0767128254385391,-0.495553856285278,0.865428193296356,0.371090951317746,-0.505995652173913,1.2273,4.95652173913043,-0.256952173913043,0.183521739130435,223.622695273969,-0.327921739130435,-1.6103,-0.284573159115409,0.190017391304348,0.037,-1.419,17.0741,23,1.2478,-0.1776,459.39847826087,483.797086956522,2,"CZE",-1.43122275804004,-1.71468913316801,"1","CZE-1"
"248",-0.491274163910543,0.00269991060674261,0.599059640344082,-0.54017001771308,-1.1882,1.9333,5.60510328068044,-0.81602,-0.011083245823389,185.821991301289,-0.358903805937726,1.0522,-0.327482659654396,-0.162377665642826,0,-0.5614,6.1333,13,-0.4562,-0.614,334.4762,299.869,1,"CZE",-1.3503632494471,-1.7583683573625,"1","CZE-1"
"249",-0.433097956928442,-0.531965276133756,0.590612054656662,-0.574079322339762,-0.00336363382047941,1.5667,6.37367355204536,0.131193333333333,-0.343356649164678,179.662129853849,-0.00782126864590874,0.3235,-0.17165884397696,0.34338,0.0571,-0.0452,19.1429,28,1.2478,1.5435,494.667933333333,501.7128,2,"CZE",-1.12692697173264,-2.0847664270774,"1","CZE-1"
"250",-0.231494629366574,-0.0531761959649423,0.777184242663262,-0.928193689126629,0.793089655172414,0.5533,4.88293459588553,0.0807689655172414,-0.175551146407703,168.362068965517,0.188924137931034,0.277,-0.279641379310345,0.513031034482759,0.0506,0.6101,12.4937,28,0.8006,-0.1776,595.31224137931,608.788379310345,3,"CZE",-1.47834110075481,-2.98045268282627,"1","CZE-1"
"251",0.259132171714082,0.600313453901595,0.898679328448968,-1.10723763225541,-0.243586666666667,0.7986,5.76666666666667,-0.08805,0.214526666666667,173.25,0.667976666666667,0.9647,-0.27005,0.00621666666666668,0.0562,0.1744,12.5393,28,0.4292,-0.1776,518.0477,539.065033333333,1,"CZE",-1.04081631451002,-3.15580689980067,"1","CZE-1"
"252",-0.646607755128507,-1.00041183716269,0.777184242663262,0.102417236301302,-0.330182608695652,1.1905,4.65217391304348,-0.0614565217391305,-0.215490575905365,221.518780339467,-0.116295652173913,-2.0719,-0.684813043478261,-0.0428086956521739,0,-1.419,19.1837,23,-1.4212,-1.4551,487.387782608696,485.945739130435,2,"CZE",-2.4869539749064,-2.39412571294587,"1","CZE-1"
"253",-0.408799319210381,-0.0868648346460884,0.864799117766442,-2.33871470471465,-0.49002357835335,0.5,4.91281895504253,-0.13220625,0.167622922136038,202.838187228166,-0.100778125,1.1515,-0.707921875,-0.426955885256692,0,0.2266,17.1321,23,1.2478,0.2633,459.92640625,427.19234375,1,"CZE",-1.45485428791646,0.541798732792123,"1","CZE-1"
"254",-1.50241720781309,0.28373425236564,0.665741646514996,-1.05114651757821,0.10428,1.2308,5.4,-0.13666,-0.33697,157.5,0.22949,-0.0956,-0.30002,0.9207,0.1667,0.2266,12.037,28,1.0245,0.0131,541.1486,574.4541,3,"CZE",-0.561500223462138,-2.73500263448406,"1","CZE-1"
"255",-0.269762615204229,-0.0443052693109881,0.599059640344082,0.118635748139071,-0.727922727272727,0.64,6.30023196730366,-0.2496,0.22011820568453,117.574726481935,0.0482900441050622,1.0522,-0.3129,-0.384627272727273,0.0159,-0.8267,7.2698,18,0.9868,0.592,422.035318181818,431.134181818182,2,"CZE",-1.32072773809619,-2.86277655464509,"1","CZE-1"
"256",-1.29552865403114,-0.41357484977221,0.898679328448968,0.250667137547613,0.193161499570165,0.6849,5.58823529411765,-0.157547058823529,-0.333769602695493,162.794117647058,0.339205882352941,0.7227,0.0110352941176471,0.446476470588235,0.2025,1.7102,11.4937,23,0.4292,-0.4314,581.106,578.832352941177,2,"CZE",-0.753945557058533,-4.02604512248588,"1","CZE-1"
"257",0.217075690714637,-0.146985601455475,0.898679328448968,-0.590792713672382,-0.221434782608696,1,5.78260869565217,-0.0426260869565217,-0.260555064854208,178.150694517559,0.381969565217391,-1.3196,-0.285669565217391,-0.103747826086957,0.0784,-2.0409,17.8039,23,-0.3155,-1.4551,512.51652173913,524.324608695652,3,"CZE",-0.658270912295111,-0.683553003984854,"1","CZE-1"
"258",-0.402680753951456,-0.315462106206584,0.752014862046097,0.0456951492497338,-0.670135714285714,0.9688,5.85714285714286,0.00970714285714288,-0.21665,186.66585652152,0.283378571428571,0.5029,-0.0461071428571429,-0.473492857142857,0,0.6101,14.6122,18,0.4292,0.8242,464.984785714286,458.102928571429,0,"CZE",-0.525950045676,2.54230980268378,"1","CZE-1"
"259",-0.497115106418568,0.370983316325693,0.648037663744551,-0.676865295897161,-0.1483875,0.7438,6.08140947752126,-0.06331875,-0.02395625,190.338187228166,0.056475,1.0522,-0.1263682081142,-0.260459375,0,0.1045,10.9796,28,0.1,0.43,481.26071875,485.99846875,0,"CZE",-1.48861255120607,-1.18941329837664,"1","CZE-1"
"260",-0.304094400982136,-0.441186384101197,0.603193565254947,-1.50221492746436,0.241272222222222,1.2,7.06723369785338,0.0877,-0.164428679395386,262.775518723423,-0.114061111111111,-1.0762,-0.640672222222222,-0.0247333333333333,0.0274,-1.2943,15.3425,23,0.0259,-0.0879,513.664277777778,526.670111111111,1,"CZE",-1.66958407322007,-1.78911805966586,"1","CZE-1"
"261",-0.434338520763487,1.08427326200363,0.467313250793463,-0.709939289622701,0.109496666666667,0.787,6.83333333333333,0.0642066666666667,0.24527722513922,126.360733043377,0.356333333333333,-1.3196,-0.22682,0.187847055726196,0.08,-2.0409,11.84,28,-0.949,-1.4551,476.605233333333,480.652733333333,1,"CZE",-2.24435993049508,-1.70112919906386,"0","CZE-0"
