"","X","schID","CNT","gender_prop","ICTCLASS","ICTHOME","ICTOUTSIDE","ICTRES","AUTICT","COMPICT","INTICT","ENTUSE","HOMESCH","USESCH","WEALTH","ESCS","HOMEPOS","BFMJ2","BMMJ1","HISCED","HISEI","JOYREAD","CULTPOSS","HEDRES","SCREADCOMP","LMINS","MMINS","ATTLNACT","EMOSUPS","COMPETE","EUDMO","GFOFAIL","SWBP","RESILIENCE","BELONG","BEINGBULLIED","PERFEED","TEACHINT","TEACHSUP","STIMREAD","PERCOMP","PERCOOP","ICTSCH","RATCMP1"
"1",1,20300001,"CZE",1.12301764372216,-0.399758201061683,39.9462170149832,0.00537668076631579,0.132066777820632,0.34680126970123,0.181182978574524,0.0929080313486911,0.475171919610084,0.395928636369931,0.461199108821324,0.255604738555614,0.0566520189845453,0.232832686224654,8.11159858314713,41.0951880587746,32.2699360665408,138.693639428775,-0.115480798527659,-0.216042279811096,0.608542074408849,-0.129139822307983,124.1123920081,3688.73860169234,0.0643605985400326,0.0506271057490648,0.0232355556059363,-0.000629361763892047,0.108100907490854,0.0911065919166214,-0.152918620227614,0.00205502895647143,0.10392296429689,-0.114254471406185,0.0245080853279941,-0.011722759279372,0.0380030480218492,-0.252488653503594,0.0527895035414672,7.8801422033501,0.496213827264594
"4",4,20300004,"CZE",1.08847793859787,0.17972360713767,41.9830021027984,0.441117844287891,0.121508212045121,0.0467662982396155,0.0394268891087527,-0.0566420372351411,0.0525401055514676,0.0982051857889411,0.342826594541911,0.0991477577614976,0.734152833370681,0.409481876823089,9.67269234407243,55.7864699391542,57.4363316057898,192.568079005399,0.689692152896905,0.392453258972208,0.466904472304915,0.0975031929323452,166.853130664103,3838.92910259938,0.0780896775236306,0.0908655157562459,0.287639537803651,-0.0753058312100603,0.612264281215298,0.0174120269483931,-0.0920822997225521,-0.127027136121995,-0.0470225762708615,0.133147427545009,0.417172844641121,0.37365464457573,0.217310161624801,-0.0803708823232482,0.0383909136124674,8.61799145817277,0.659996329384795
"5",5,20300005,"CZE",1.02710110383894,-0.31149901687109,34.5741906405127,-0.103306778463067,-0.133448424122202,0.0310050272982898,0.100099379169781,0.121584612563586,-0.0563587042891514,0.0594113600771956,0.184823324019924,-0.307988511742695,-0.557677929008225,-0.36318081682238,7.80437446833932,33.4848900602639,30.9302891721789,88.5314853295488,0.101544477482824,-0.6975825670706,0.341132903128303,-0.258801299057686,197.032731979085,4013.70506185826,-0.0979964310726884,-0.0836956131947792,-0.0634885461583276,0.0775114332274025,0.205852782595865,0.0142263091448993,-0.280196917690183,-0.325617886111091,0.51359533108557,-0.210480327250288,0.146648847744469,-0.00699763405269231,-0.382582720830226,-0.518402285229097,-0.403341375976684,7.16546796306837,0.663259920902014
"7",7,20300007,"CZE",0.999688814124377,-0.308544326531486,35.4577026228591,0.0639962600727561,0.0451330566351192,0.165317386600975,-0.0511712129290133,0.141596177418907,0.263087108445207,0.172097754064962,0.327419146715335,-0.210704822334777,0.257892777308646,-0.0675781122919479,8.65925310619053,49.4653750898607,44.9394978540285,169.200052875174,0.386654174620312,-0.38149629510374,0.559045827792519,0.0109944768085538,133.450729133454,2936.76030595517,0.409746884355893,0.396822913594183,0.175515862138138,0.0554707486773965,0.218194035488191,0.504550937522596,-0.00936629164983345,-0.0373178424487657,-0.183495365862195,-0.503384947622232,0.295160761888978,0.3995406925616,0.645622016642597,-0.605050686438332,0.611080650694858,9.04195037882554,0.616082512315262
"10",10,20300010,"CZE",1.003153722198,-0.409796940329632,37.1815540915405,-0.21395639640464,-0.0431440027880486,-0.00546057030245701,0.0453580199340633,-0.0657002641580439,0.0192635731256832,0.154455835481825,0.374234050534336,0.0781382109739593,0.0446496242517696,-0.0226630007384133,8.30980319950397,43.236503271243,34.9928681731259,145.795525196441,0.117261538493709,-0.348237738876092,0.22367425242544,-0.0539353205795284,202.741709432788,4459.8897787992,0.121304055332904,-0.252658086463762,-0.0117156536680621,0.150648895015044,0.0855239722133964,0.0544838591900342,0.269940820833006,-0.225838575469808,-0.192672722095476,0.353599306297136,0.364691400468148,0.334389777600265,0.300928941982568,-0.072358353346137,0.0849075605228749,6.46954183197934,0.770161122143728
"11",11,20300011,"CZE",0.916336213202797,-0.518371665072804,40.9875102584468,0.0807762910149528,0.539637707464462,-0.139610982338087,-0.105852862194082,0.0820888851943558,0.0323991995704592,0.0188316633980948,0.0291397868777222,0.684695038201249,0.854799658660246,1.01622137052867,9.41223120155889,47.817110543816,48.9504410495606,169.445889154108,0.439386814210099,0.781393948398445,0.568333107904082,0.340219803633086,167.871134432684,3014.0860409929,-0.148765646474191,0.109447591207333,0.00615084793006061,-0.00738753166869248,0.191653400291505,0.318099977630161,-0.165939870131209,0.183950011160148,-0.252045640257235,0.0400217581001314,0.309873608986048,-0.020324378389022,0.531581525997441,-0.447666254055501,0.19199626854901,7.52387455430726,0.524521900930402
"12",12,20300012,"CZE",1.03361474088396,0.0609944221891498,49.3536960166007,-0.6114710427099,0.584287793784464,0.367589073784159,0.264110142618715,0.00560687667013403,0.238118987325005,0.116089801008472,0.360803168363616,0.600567658524844,0.890976145482917,0.816568470367701,9.63972484666382,47.917094366655,59.9262119425719,174.424573397028,0.654549181207834,0.74415718436123,0.245396353143608,0.544053013779303,165.343481939698,2939.41370546159,-0.218939432534245,-0.298884702969729,0.316805767230426,-0.217454578627714,0.463533562434004,-0.305963270449812,0.239892778878116,-0.567739575266486,0.641323579307234,-0.372907830234383,0.0770080013968816,-0.250199050831257,-0.25653685496971,0.12716030598683,-0.5387752440753,8.45909734705637,0.616082512315262
"14",14,20300014,"CZE",0.990977472632336,-0.23671631520378,43.2438220632607,0.011153886095284,0.473490349375555,0.230783091109234,0.0644824193264782,0.0505162927474234,0.123656966708753,0.196050312491468,0.100986008315608,0.293369117057398,0.816277457009666,0.695371543943248,9.46119420297614,48.2624415784787,55.8592792777474,181.487064751205,0.75389086211053,0.614440755816883,0.862463329538872,0.423510702675991,164.005337708683,3052.43088096276,-0.128366434287692,0.0328124721131289,0.442725927106729,0.136784757532838,0.36289226403181,0.617352697351371,0.0073831348956169,0.32261392048597,0.171359484828708,-0.190145664672355,0.721262234072683,0.179025655224459,0.543731195463228,-0.0417847429003869,0.195555665741566,8.13019664440979,0.672426099911307
"18",18,20300018,"CZE",1.08327714889374,-0.453838862067898,46.1731492042927,-0.323804786459353,0.186428840691895,0.0302823845257469,0.22966643176214,0.185924224326597,0.312824768713907,0.428079946065706,0.532021318932074,0.218010416437877,-0.233264282385299,0.0498521759118416,7.99864565393833,35.5353797660294,30.6337331491168,112.722817004426,-0.318323015010122,-0.346062317997649,0.368470380390904,-0.428331259411974,183.791807917261,4149.65605957509,-0.0942738141025939,-0.274655420061631,0.307495400278958,0.238510561025939,0.219427717099665,-0.0505926943785223,-0.422636891426801,-0.416471190218441,0.338947698728483,-0.0714293137325167,-0.0752613715498081,0.0558055221852237,0.047500552766654,0.322028540818603,-0.0153417689370633,7.30532746746417,0.582782758700037
"19",19,20300019,"CZE",1.07189187560138,-0.339529949850751,38.2690048780445,-0.193057676751907,0.3108429120258,0.131551559447637,0.0491377573835524,0.00212905864941602,-0.00344042264032818,-0.500458588610879,-0.281080233682114,0.246968600200473,0.0998028575686817,0.371412133788998,8.12316245130116,38.00442952511,37.9382320741897,121.9851816613,0.0140288339855133,0.0503214820910785,0.49703867648722,0.0923581908635178,188.385126374112,3784.69959791663,-0.104935367035829,-0.10253362956968,-0.195953224723809,0.204297912436967,0.140982965346545,0.0419983441570556,-0.0285376970018772,-0.164103295963752,0.0710478125773713,0.0573439334221604,-0.0242712096783416,0.53841502187188,-0.130201740745102,-0.050097277796502,-0.120922515680103,6.83473096926286,0.459038303568457
