"","Approach.to.ICT","Use.of.ICT","Teachers..degree","Teacher.skill","ESCS","RATCMP1","ICTSCH","ICTRES","ENTUSE","LM_MINS","HEDRES","STUBEHA","ATTLNACT","JOYREAD","PROAT6","TEACHBEHA","STRATIO","CLSIZE","EDUSHORT","STAFFSHORT","PV1MATH","PV1READ","CREACTIV","CNT","Social.well.being","Psychological.well.being","IM_PUBLIC","NEW_VAR"
"1",0.320295752298415,-0.203564028354115,1.03943403161158,0.83165269149182,-1.35653204468198,-0.632404087839722,0.0324599292073504,-1.24255998250551,-0.368515395536147,-1.03187992704003,-0.633018729527061,1.52622635277301,-0.668750306515573,-0.707562507329528,-0.319259282627607,1.23181281039638,-0.308619569607583,-0.166987077113746,0.712900266184086,1.1455530496269,-2.11439348408991,-1.41426110361589,1.418654450136,"HRV",-0.29924652527605,0.548410889304258,"1","HRV-1"
"2",0.107914598903245,-0.474886095212293,0.9083116210333,-0.251759197036072,-1.38142258828153,-0.547079673338064,-1.05033436850044,-1.66895567116467,0.0625692966216378,-0.99540320847087,-0.304127204556786,0.218104938602038,-0.127924057048868,-1.06354678828022,-0.666732731609091,0.34950317021304,-1.18648142234783,-1.00797268831461,1.67894318900091,-0.592925596278031,-1.40491732620451,-0.938488895369828,0.444092936727691,"HRV",-0.578281513945371,-0.176755323261089,"1","HRV-1"
"3",0.135199618139681,0.0873253995374177,1.16930468968916,0.00147684912860056,-0.581108156815496,-0.636654642050604,-0.395342702730656,-1.21858593762242,0.782258153633742,-1.30920898509896,-0.154623923080926,0.0386650216653326,-1.16921170998271,-2.07684181897015,-0.666732731609091,-0.0890280542131452,-0.649194720686693,-0.166987077113746,-0.0286943065020182,-1.49531660409748,-0.951530480294205,-0.873046398850276,0.444092936727691,"HRV",0.123262590286933,1.19810349684881,"1","HRV-1"
"4",0.808783782696041,-0.338348238089497,1.27359185154532,-0.81731055339386,1.5687748701567,-0.504511388657105,0.00639710864131727,0.439132668490011,-0.0265449359113859,-0.288436014028638,1.16860955662072,0.218104938602038,0.474851279943267,1.24407206133482,0.377818066465276,-0.82642589976685,0.838351648310239,0.673998534087118,-1.66625224520154,-0.252611213112736,2.82085484400828,2.61857267014333,1.418654450136,"HRV",1.00064747179516,0.0760476522603958,"1","HRV-1"
"5",0.412498707422484,0.0672727966215557,1.23259241324303,-0.418355715273176,-1.17470207686602,-1.16502591019957,-0.518077374105617,-1.32116810673579,0.220237531039358,-0.538567513366172,-1.35032633391622,2.12332814533826,-1.65686216158606,-1.44578086786575,-0.666732731609091,1.35964332260818,-0.529535840248518,-1.00797268831461,0.016841258056876,0.268910923257535,-1.84283064590174,-1.91919429934226,-1.50503009008893,"HRV",-0.781378103777826,0.196016423881376,"1","HRV-1"
"6",0.600594742576326,-1.38752052777058,1.30275923718319,-0.606454307222902,-1.15698419503439,-1.03046171170573,-1.2894954107148,-2.0529141720252,-0.943833875256919,-1.891655052422,-0.670157359447814,1.42280531690309,1.80577757470726,-1.02369217196105,1.5500992610433,0.0460592119670188,-1.28321513921068,-0.166987077113746,0.761342356140357,2.07422937392665,-0.841177161730357,-0.449135750481088,-1.50503009008893,"HRV",-0.0467441273581057,0.258272096215071,"1","HRV-1"
"7",-1.11232907537421,-0.930225221417488,1.13312062165727,0.901144962178552,-1.57179337225727,-1.17652539942618,-1.29679561717245,-0.735178226659856,-0.956812838765296,-1.85949195283702,-0.0283582726302589,-0.274028922257622,0.475002168214191,-1.08633828418807,-0.666732731609091,-0.470510028211179,-0.644278029513815,-1.00797268831461,1.67894318900091,0.868001564996188,-1.79040487017181,-1.36383983656459,-0.530468576680621,"HRV",-0.564551071884798,0.324075672256862,"1","HRV-1"
"9",0.541894635307451,-1.43156154369128,1.32422203038842,0.492982809165516,-0.647930088110981,-0.356631992111403,-0.00220217697404171,-1.02480646987688,-1.13437294352583,-1.56826458348987,-0.995489835605412,0.218104938602038,0.734681045095127,-0.668414633472411,-0.405595032090499,-2.18198754105574,-1.54057046533665,-0.166987077113746,0.325686493800298,-1.49531660409748,-2.05046720509148,-1.41966199761436,0.444092936727691,"HRV",0.1141401310273,1.40158803595445,"1","HRV-1"
"10",-0.708481641147807,0.462892658257102,0.783249576010541,1.44249785595931,-1.25948017472528,-1.25339040636194,-0.988126168439427,-1.6555172516427,0.180168561315725,-1.5622580583417,-0.778965631064315,1.95482699181087,-0.568965527822052,-1.21923338610138,-0.181357224895186,0.768050410634061,-0.605119057213842,-1.00797268831461,-0.611398824131556,-1.49531660409748,-1.05379149321178,-0.466083245633297,-1.50503009008893,"HRV",0.3831203235394,0.741172717444404,"1","HRV-1"
"11",0.899847905186407,-0.676707499991873,1.32422203038842,0.19071824905421,0.172774111368851,-1.13516758729539,-0.717022262205085,-0.807553396794476,0.503877574915269,-0.448032812572229,1.09461465245056,-0.820304137365426,0.890558187627322,0.0136721395150077,-0.666732731609091,-0.340335026255748,0.408650295508911,0.673998534087118,-0.392117630262838,-0.774026062476965,0.933589376014492,1.29503212709971,1.418654450136,"HRV",1.05236110337252,1.42551728394132,"1","HRV-1"
