"","CNT","scPC1_tec","scPC2_tec","scPC3_tec","scPC4_tec","scPC1_psi","scPC2_psi","scPC3_psi","scPC4_psi","scPC5_psi","scPC1_clt","scPC2_clt","scPC3_clt","scPC4_clt","scPC1_fam","scPC1_tch","scPC1_sch","scPC2_sch"
"1","HRV","-0.857271693094787","-0.890744133543896","-0.569300394064044","0.38850163943516","0.0566376919722599","-0.694234141983236","-1.02149619834166","-0.129000357841897","-0.323843842665692","-1.89939073420695","0.461550548980717","-1.26435734659132","0.293764588412105","-2.80453089652546","-1.12213229707652","-0.520764723109206","-0.917254504526932"
"2","HRV","-1.47266216365907","-0.823270884985522","-1.01653925533589","1.50321135019092","-0.682559505212704","-0.126944390765134","-1.36211085050531","0.0817781745225238","0.456434241164268","-1.45379400420407","0.518487186612419","-0.665527653851258","-0.631515988239679","-2.95277314683561","-0.3667109990267","-0.0332172642926521","-1.53461226446205"
"3","HRV","-0.18844943257479","-0.257206486279718","-1.03133769479626","0.780583284564368","0.795222383233691","-0.944248639193413","-1.21492397524682","-0.737426539182339","-0.631812385862124","-1.78902819423814","0.79096491690431","-0.696833478342693","-1.43300001660725","-1.12837606698213","0.0336798427136006","0.843395741731185","0.0975147788847618"
"4","HRV","0.592511079057659","-0.992389131933064","0.328022969600364","0.335436560101759","1.11655669119008","1.71404671544549","1.51740559882575","-0.850794420304968","0.127744184592777","1.93815553812628","1.13981466016874","-0.648079092846052","0.618817315294893","3.53240418572012","0.675626583555412","-0.412728530486918","3.00625766279837"
"5","HRV","-0.632126334572216","-0.729078721541526","-1.18450221366819","1.17545318051959","-0.921874510214639","-0.915094906440673","-0.579512181874529","-1.04645703255792","-0.216052956034835","-2.60325759882041","-0.403697422095837","-1.16043654106428","0.467060681713596","-2.41504492413396","-1.27193107631534","-0.04247810710973","-1.70701970906187"
"6","HRV","-1.82580236222134","-1.98091910721527","-0.29159970732301","1.09409854764059","0.636581117378455","0.699062713387533","-0.544071200961837","-0.00132737129855054","0.978878760659918","-2.45958236695866","1.38524639701794","-1.20582940428267","-0.0850455680444393","-2.48801118268122","-0.101384698681889","-1.07094602287448","-2.49531571290586"
"7","HRV","-2.16590815349936","-0.0945245078147512","0.188716918155341","-0.363669467607308","0.0163942572096866","-0.860196353325874","-1.12105862168655","0.827956272718271","-0.468874795618135","-1.84500466125047","1.60238109932762","-0.30580486220246","-1.24941387688019","-3.4388495270403","0.396463374967652","-0.43366455693498","-2.24953823233284"
"8","HRV","-0.502681309122885","-0.615706964211199","0.317562800568089","0.590785733577667","1.86169895484994","0.758664912865162","-0.518209979007678","-0.493883682973922","0.98984463906755","-0.193166768648652","1.08538403836195","-0.996036790609986","0.217316136782587","0.206956999091866","-3.88448865596767","0.486333511898432","-0.0465044740674593"
"9","HRV","-1.06404674851065","-1.4261091081092","0.815323207160205","1.17467940869782","1.5680725953448","-0.711340562187052","-1.49645275635674","-0.400515317555725","0.144492835759267","-1.34444836388647","1.46653476506283","-0.745677430027526","-0.194748128540992","-1.51155814250517","1.92303095984801","1.14675373114528","-0.248452410800948"
"10","HRV","-1.44291433297945","0.386186690234486","-1.32772181996871","0.469541941067327","0.719000780274722","-0.504097153055019","-1.68167598718766","0.0935551379583528","-0.392299727868277","-2.73575304228947","0.853341626047597","-1.44631227626264","0.0986148726274062","-2.67793527340618","-0.691904318827935","0.502157730541286","-0.159586205518235"
