"","CNT","scPC1_tec","scPC2_tec","scPC3_tec","scPC4_tec","scPC5_tec","scPC1_psi","scPC2_psi","scPC3_psi","scPC4_psi","scPC5_psi","scPC1_clt","scPC2_clt","scPC3_clt","scPC1_fam","scPC1_tch","scPC1_sch","scPC2_sch"
"1","CZE","-0.41985518695612","0.0666684758279642","-1.40309559052184","-0.484809847907457","0.925110945628835","-1.88817636826025","0.869017102907581","-0.51924773355569","0.0527966615627173","0.433420842347202","-1.07899426613229","-1.02463609401709","-0.914403263011144","-0.525725360446405","-0.259288045113887","-1.45742183762481","0.0500656459744823"
"2","CZE","-0.856962273459248","0.718781377944747","-1.53249127864785","-1.17929317343108","0.91456442140171","-2.46832698206633","0.771892394351077","-1.11595744397258","0.198695564436504","1.08558646103824","-1.3211613936111","1.14459121404456","-0.095443934746442","-2.23038332107562","-0.774463774855561","-2.749507695214","-0.431772170777457"
"3","CZE","-2.81970614448535","1.28486178661211","0.856302079012869","-0.0672621786589298","1.01140924798204","-1.17290422892866","1.58231997186799","0.203967742738148","1.15441746434479","0.118801201360161","2.16280678632392","-0.853434690849013","-0.203044932316457","0.968819465070362","-0.0546536802887561","-1.58875756380321","-0.158688413588128"
"4","CZE","-0.998378243892876","1.35780385812443","0.742022057629074","0.529108473786066","-0.335495897673244","-1.83876251709122","1.24585851052031","1.63460913625014","0.416136563165926","-0.189532610367486","1.10018190103268","-0.109820307023076","0.569382436758094","2.69179786708226","0.306273261104414","-0.70697810535243","-1.02787997845404"
"5","CZE","-2.59264964297875","0.0553222424008263","-0.197692812720923","1.12555839517234","0.414148559724314","-3.30543673545994","0.2635633809741","-0.212610399073488","-0.47431318128376","-0.291788629042071","-1.87825775712491","1.00302856341537","-0.657614385334427","-3.14651011524136","-0.389281049362177","-2.9587327551256","-1.5579442405572"
"6","CZE","-1.63812499575255","0.440907099662453","-0.730779824628978","0.450936199195038","0.846027602333588","-0.232884358408925","1.98181000570014","-0.321715807070101","-0.48567157917338","-0.100399630577144","-0.618959375174436","-1.26074384675192","-0.16235685015488","0.318002843262445","0.469432752968283","-0.543988669194935","-1.20810870547868"
"7","CZE","-2.96504916167142","1.67642457928078","-0.0781623696297362","0.0718211511753208","0.176299135897763","-2.9411142439239","1.68229798068242","-0.0626834317956635","-0.694209293063235","0.155244932618824","-0.146446350497586","-2.22382645232978","0.361413523415956","-1.49625525168531","-1.49500821538249","-2.80751102236051","0.0361078605139126"
"8","CZE","-1.21311957647012","2.88173100799615","-0.35165506141437","0.476080963891933","0.0681662862123098","-2.26891858424846","-1.17494961873476","-2.06866826084083","-1.19867463111112","-0.0641831165588991","-1.7799069114932","-0.116948175114647","-1.30529184070876","-1.79649211206135","-1.17158076307882","-1.70298108467709","0.373886223695533"
"9","CZE","-2.59888970418594","0.548949146078844","-0.276249018098806","0.260253146970869","0.76145762424786","-1.45994919823517","-0.302949600103133","-0.663203234632204","0.808493876763898","0.279987831021111","-1.07816264775875","1.20295177830056","-0.284357582704724","-0.567442907197164","0.293881699482425","-1.2997855704296","-1.63807752701407"
"10","CZE","-2.26386201730797","0.403769871964116","1.29653122274012","-0.476683080658825","0.759179806338375","-1.38226123617954","1.07873897286763","-0.703071554692432","0.770430768401777","0.42869994415781","1.67750392717617","-0.999705439229262","-0.0449101912965925","2.85176643207383","0.17741866947134","-1.71192081504993","-0.230198303009514"
"11","CZE","-0.42212598099328","-0.777636097080033","0.872854244748122","-1.26933616949751","1.69634478217207","-3.79459083505168","0.437178577212447","1.63104815562183","-2.17958025592","0.13196220647222","1.77611269716946","-1.10083649969997","0.991234054478402","3.09839182806299","-0.515166968049591","-1.45589950407134","-0.659073457572265"
